epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.47400000047683716,1.0636826553344727,0.0,1.2999733333587646
1,0.47399999952316285,1.0518433380126953,0.0,1.6401107711791991
2,0.4740000002384186,1.042569580078125,0.0,1.6605622253417969
3,0.47399999952316285,1.042199634552002,0.0,1.5146580305099486
4,0.47399999952316285,1.0411466093063355,0.0,1.6102266492843629
5,0.47400000047683716,1.040573624610901,0.0,1.6538587560653686
6,0.4740000002384186,1.0398894319534302,0.0,1.5442567100524902
7,0.47400000047683716,1.0394818820953369,0.0,1.5592053422927856
8,0.4739999997615814,1.039488392829895,0.0,1.57814107131958
9,0.47400000047683716,1.0392054853439332,0.0,1.3703763818740844
10,0.474,1.046090217590332,0.0,1.6359458866119385
11,0.4739999997615814,1.0408008632659913,0.0,1.633888939857483
12,0.47399999952316285,1.040352068901062,0.0,1.672384479522705
13,0.474,1.03900009059906,0.0,1.525121057510376
14,0.47400000047683716,1.0380661630630492,0.0,1.671619221687317
